feature;importance
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN;0.0003392446039482394
PREV_AMT_CREDIT_MIN;0.00033878788839715587
CC_MONTHS_BALANCE_VAR;0.0003274870521381312
PREV_APP_CREDIT_PERC_MEAN;0.00032383982424751456
APPROVED_APP_CREDIT_PERC_MEAN;0.00031382217058263645
PREV_AMT_ANNUITY_MEAN;0.00031208427157861156
CC_CNT_INSTALMENT_MATURE_CUM_MEAN;0.0003079990755994561
APPROVED_DAYS_DECISION_MIN;0.000307322013588397
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX;0.0002997481435283971
CC_AMT_PAYMENT_CURRENT_MIN;0.00029668757416095957
PREV_AMT_APPLICATION_MAX;0.0002947392777836863
PREV_NAME_YIELD_GROUP_middle_MEAN;0.000291225240638251
INSTAL_PAYMENT_PERC_VAR;0.0002745549618331584
APPROVED_APP_CREDIT_PERC_MAX;0.0002742800101231821
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN;0.0002731451134864692
INSTAL_PAYMENT_PERC_MAX;0.00027260270347434046
CC_NAME_CONTRACT_STATUS_Active_SUM;0.0002694816140921489
PREV_AMT_GOODS_PRICE_MIN;0.00026944556918146936
PREV_NAME_CLIENT_TYPE_New_MEAN;0.0002611142628338666
POS_NAME_CONTRACT_STATUS_Active_MEAN;0.00025982968982270145
PREV_APP_CREDIT_PERC_MAX;0.0002590607591666664
FLAG_DOCUMENT_5;0.000253498576859669
PREV_PRODUCT_COMBINATION_POS household with interest_MEAN;0.00024375383156327655
REG_REGION_NOT_LIVE_REGION;0.00023523133739240365
APPROVED_AMT_ANNUITY_MIN;0.00023343200607052445
PREV_AMT_GOODS_PRICE_MEAN;0.00022913730155605337
CC_AMT_PAYMENT_CURRENT_MEAN;0.00022625753354304874
PREV_NAME_PRODUCT_TYPE_walk-in_MEAN;0.00022455400773099154
PREV_AMT_APPLICATION_MEAN;0.00021699436944438424
CC_AMT_INST_MIN_REGULARITY_MIN;0.00021577741842499832
PREV_NAME_CLIENT_TYPE_Repeater_MEAN;0.00021198912735948843
APPROVED_HOUR_APPR_PROCESS_START_MIN;0.00021087678143282652
APPROVED_APP_CREDIT_PERC_MIN;0.00020979803054331752
APPROVED_AMT_CREDIT_MIN;0.00020607548451541456
PREV_RATE_DOWN_PAYMENT_MIN;0.0002057812001317622
PREV_AMT_GOODS_PRICE_MAX;0.00020504248684635924
APPROVED_CNT_PAYMENT_MEAN;0.00019031424041911953
BURO_DAYS_CREDIT_ENDDATE_MIN;0.00018995660380748342
