feature;shap_importance
PREV_NAME_CASH_LOAN_PURPOSE_Buying a holiday home / land_MEAN;3.0299557605061194e-05
PREV_NAME_CASH_LOAN_PURPOSE_Hobby_MEAN;2.969309114324693e-05
PREV_CODE_REJECT_REASON_SCOFR_MEAN;2.9542272822707418e-05
PREV_CODE_REJECT_REASON_SCO_MEAN;2.9526922572023437e-05
PREV_NAME_CONTRACT_STATUS_Refused_MEAN;2.9409201248022843e-05
BURO_STATUS_5_MEAN_MEAN;2.9237298472477038e-05
BURO_STATUS_0_MEAN_MEAN;2.894341412186402e-05
PREV_AMT_APPLICATION_MAX;2.794484851055845e-05
PAYMENT_RATE;2.7788521748083064e-05
PREV_NAME_CASH_LOAN_PURPOSE_Payments on other loans_MEAN;2.7705727403062375e-05
DAYS_LAST_PHONE_CHANGE;2.759451697496371e-05
CLOSED_AMT_CREDIT_SUM_SUM;2.7248117328400963e-05
BURO_DAYS_CREDIT_MIN;2.724521965692791e-05
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN;2.7183465583843618e-05
INCOME_PER_PERSON;2.6673980303046472e-05
BURO_STATUS_C_MEAN_MEAN;2.6629525495767562e-05
PREV_NAME_CASH_LOAN_PURPOSE_Gasification / water supply_MEAN;2.595592321074687e-05
CLOSED_CREDIT_DAY_OVERDUE_MAX;2.575457469437769e-05
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN;2.5592202641519614e-05
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN;2.5462697607141464e-05
BURO_DAYS_CREDIT_UPDATE_MEAN;2.5130194336288098e-05
BURO_AMT_CREDIT_SUM_SUM;2.503783497335144e-05
ACTIVE_AMT_CREDIT_SUM_DEBT_MAX;2.4930173224024365e-05
BURO_CREDIT_TYPE_Unknown type of loan_MEAN;2.4469895609471286e-05
CLOSED_DAYS_CREDIT_MAX;2.4134878621221405e-05
CLOSED_AMT_CREDIT_SUM_MEAN;2.385700825593733e-05
BURO_STATUS_X_MEAN_MEAN;2.2172101460800333e-05
PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN;2.1903811805523093e-05
BURO_DAYS_CREDIT_ENDDATE_MEAN;2.0934932502255822e-05
PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN;2.068634065968695e-05
CLOSED_AMT_ANNUITY_MAX;2.051173178566874e-05
PREV_CODE_REJECT_REASON_HC_MEAN;2.022576702726965e-05
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN;1.992390594054337e-05
PREV_NAME_CASH_LOAN_PURPOSE_Journey_MEAN;1.986209049494899e-05
BURO_STATUS_1_MEAN_MEAN;1.9407863743283686e-05
PREV_CODE_REJECT_REASON_CLIENT_MEAN;1.915395064998386e-05
CLOSED_DAYS_CREDIT_VAR;1.7367261950680014e-05
ACTIVE_MONTHS_BALANCE_SIZE_MEAN;1.707390641231787e-05
ACTIVE_AMT_ANNUITY_MAX;1.7069260950747202e-05
PREV_NAME_PAYMENT_TYPE_Non-cash from your account_MEAN;1.7041797150474107e-05
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN;1.674091550004921e-05
PREV_NAME_CASH_LOAN_PURPOSE_Car repairs_MEAN;1.668019194440064e-05
FLAG_DOCUMENT_20;1.594026209789836e-05
PREV_CODE_REJECT_REASON_SYSTEM_MEAN;1.496309791238062e-05
PREV_NAME_PAYMENT_TYPE_XNA_MEAN;1.4841814529756236e-05
BURO_CREDIT_DAY_OVERDUE_MAX;1.4528028506609752e-05
FLAG_DOCUMENT_19;1.4029570519765659e-05
PREV_NAME_CASH_LOAN_PURPOSE_Buying a new car_MEAN;1.3921522010910529e-05
PREV_NAME_CASH_LOAN_PURPOSE_nan_MEAN;1.3700454818897013e-05
ACTIVE_AMT_ANNUITY_MEAN;1.3222531699407572e-05
PREV_NAME_CASH_LOAN_PURPOSE_Buying a garage_MEAN;1.3063232616551987e-05
PREV_NAME_CASH_LOAN_PURPOSE_Refusal to name the goal_MEAN;1.2459223632790314e-05
CLOSED_DAYS_CREDIT_MEAN;1.2329872175783552e-05
PREV_NAME_CASH_LOAN_PURPOSE_Buying a used car_MEAN;1.2103109957447796e-05
PREV_NAME_CONTRACT_STATUS_Unused offer_MEAN;1.1970843072040045e-05
BURO_STATUS_nan_MEAN_MEAN;1.1324595374533771e-05
ACTIVE_DAYS_CREDIT_MIN;1.1217672640114309e-05
PREV_NAME_TYPE_SUITE_Children_MEAN;1.1060659081456962e-05
ACTIVE_CREDIT_DAY_OVERDUE_MEAN;1.097065348398218e-05
CLOSED_AMT_CREDIT_SUM_OVERDUE_MEAN;1.0694099381720263e-05
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN;1.0317999363056311e-05
CLOSED_DAYS_CREDIT_ENDDATE_MEAN;9.567510537077827e-06
BURO_AMT_CREDIT_SUM_DEBT_MAX;9.558875009778242e-06
PREV_CODE_REJECT_REASON_nan_MEAN;9.514664883746657e-06
CLOSED_AMT_CREDIT_SUM_DEBT_SUM;9.498556880077363e-06
CLOSED_AMT_CREDIT_SUM_DEBT_MEAN;9.175313137143437e-06
CLOSED_MONTHS_BALANCE_MAX_MAX;8.629840401893028e-06
FLAG_DOCUMENT_21;8.573682970239768e-06
DAYS_EMPLOYED_PERC;8.17589958475918e-06
PREV_NAME_PAYMENT_TYPE_Cash through the bank_MEAN;7.857644485243345e-06
CLOSED_CREDIT_DAY_OVERDUE_MEAN;7.493745053696386e-06
FLAG_DOCUMENT_6;7.411459140279686e-06
CLOSED_DAYS_CREDIT_ENDDATE_MAX;7.0698420901660266e-06
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN;7.000089914971073e-06
BURO_DAYS_CREDIT_VAR;6.9724919115066135e-06
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN;6.683714715375032e-06
PREV_CODE_REJECT_REASON_XAP_MEAN;6.411794850677958e-06
PREV_NAME_CASH_LOAN_PURPOSE_Building a house or an annex_MEAN;6.261043202182359e-06
CLOSED_AMT_CREDIT_SUM_MAX;6.260966182658848e-06
ACTIVE_CNT_CREDIT_PROLONG_SUM;5.7491212948933285e-06
CLOSED_MONTHS_BALANCE_SIZE_MEAN;5.556447811000857e-06
CLOSED_AMT_CREDIT_SUM_DEBT_MAX;5.523784702870944e-06
CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN;5.165075245054316e-06
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN;5.056608806806433e-06
ACTIVE_DAYS_CREDIT_UPDATE_MEAN;5.020722914127306e-06
PREV_NAME_CASH_LOAN_PURPOSE_Buying a home_MEAN;4.794465433425717e-06
PREV_CODE_REJECT_REASON_VERIF_MEAN;4.085925182622621e-06
FLAG_DOCUMENT_7;4.068115221969463e-06
PREV_NAME_CASH_LOAN_PURPOSE_Business development_MEAN;3.5673104566423597e-06
CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN;3.2160149762990584e-06
BURO_DAYS_CREDIT_MEAN;2.8618463156272582e-06
CLOSED_DAYS_CREDIT_UPDATE_MEAN;2.5629992668160014e-06
CLOSED_AMT_CREDIT_SUM_LIMIT_SUM;2.2089246747279906e-06
PREV_NAME_CASH_LOAN_PURPOSE_Education_MEAN;4.1812022838334495e-07
BURO_CREDIT_ACTIVE_Active_MEAN;4.1218957273742595e-07
INSTAL_DBD_SUM;0.0
CC_AMT_DRAWINGS_POS_CURRENT_SUM;0.0
CC_AMT_DRAWINGS_POS_CURRENT_MAX;0.0
CC_AMT_DRAWINGS_POS_CURRENT_MIN;0.0
CC_AMT_DRAWINGS_OTHER_CURRENT_VAR;0.0
CC_AMT_DRAWINGS_OTHER_CURRENT_SUM;0.0
CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN;0.0
CC_AMT_DRAWINGS_OTHER_CURRENT_MAX;0.0
CC_AMT_DRAWINGS_OTHER_CURRENT_MIN;0.0
CC_AMT_DRAWINGS_CURRENT_VAR;0.0
CC_AMT_DRAWINGS_CURRENT_SUM;0.0
CC_AMT_DRAWINGS_CURRENT_MEAN;0.0
CC_AMT_DRAWINGS_CURRENT_MAX;0.0
CC_AMT_DRAWINGS_CURRENT_MIN;0.0
CC_AMT_DRAWINGS_ATM_CURRENT_VAR;0.0
CC_AMT_DRAWINGS_ATM_CURRENT_SUM;0.0
CC_AMT_DRAWINGS_ATM_CURRENT_MEAN;0.0
CC_AMT_DRAWINGS_ATM_CURRENT_MAX;0.0
POS_COUNT;0.0
CC_AMT_DRAWINGS_POS_CURRENT_MEAN;0.0
CC_AMT_DRAWINGS_POS_CURRENT_VAR;0.0
CC_AMT_RECEIVABLE_PRINCIPAL_SUM;0.0
CC_AMT_INST_MIN_REGULARITY_MIN;0.0
CC_AMT_RECEIVABLE_PRINCIPAL_MAX;0.0
CC_AMT_RECEIVABLE_PRINCIPAL_MIN;0.0
CC_AMT_PAYMENT_TOTAL_CURRENT_VAR;0.0
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM;0.0
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN;0.0
CC_AMT_PAYMENT_TOTAL_CURRENT_MAX;0.0
CC_AMT_PAYMENT_TOTAL_CURRENT_MIN;0.0
CC_AMT_PAYMENT_CURRENT_VAR;0.0
CC_AMT_PAYMENT_CURRENT_SUM;0.0
POS_NAME_CONTRACT_STATUS_nan_MEAN;0.0
CC_AMT_PAYMENT_CURRENT_MEAN;0.0
CC_AMT_PAYMENT_CURRENT_MAX;0.0
CC_AMT_PAYMENT_CURRENT_MIN;0.0
CC_AMT_INST_MIN_REGULARITY_VAR;0.0
CC_AMT_INST_MIN_REGULARITY_SUM;0.0
CC_AMT_INST_MIN_REGULARITY_MEAN;0.0
CC_AMT_INST_MIN_REGULARITY_MAX;0.0
CC_AMT_DRAWINGS_ATM_CURRENT_MIN;0.0
CC_AMT_CREDIT_LIMIT_ACTUAL_VAR;0.0
CC_AMT_CREDIT_LIMIT_ACTUAL_SUM;0.0
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN;0.0
INSTAL_AMT_INSTALMENT_SUM;0.0
INSTAL_AMT_INSTALMENT_MEAN;0.0
INSTAL_AMT_INSTALMENT_MAX;0.0
INSTAL_PAYMENT_DIFF_VAR;0.0
INSTAL_PAYMENT_DIFF_SUM;0.0
INSTAL_PAYMENT_DIFF_MEAN;0.0
INSTAL_PAYMENT_DIFF_MAX;0.0
INSTAL_PAYMENT_PERC_VAR;0.0
INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE;0.0
INSTAL_PAYMENT_PERC_SUM;0.0
INSTAL_PAYMENT_PERC_MEAN;0.0
INSTAL_PAYMENT_PERC_MAX;0.0
INSTAL_DPD_MAX;0.0
INSTAL_DPD_MEAN;0.0
INSTAL_DPD_SUM;0.0
INSTAL_DBD_MAX;0.0
INSTAL_DBD_MEAN;0.0
INSTAL_AMT_PAYMENT_MIN;0.0
INSTAL_AMT_PAYMENT_MAX;0.0
INSTAL_AMT_PAYMENT_MEAN;0.0
CC_MONTHS_BALANCE_VAR;0.0
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX;0.0
CC_AMT_CREDIT_LIMIT_ACTUAL_MIN;0.0
CC_AMT_BALANCE_VAR;0.0
CC_AMT_BALANCE_SUM;0.0
CC_AMT_BALANCE_MEAN;0.0
CC_AMT_BALANCE_MAX;0.0
CC_AMT_BALANCE_MIN;0.0
